table_name,policy_name,command,roles,using_expression,check_expression,severity,risk_summary
public.admin_action_audit_log,Admins can read centralized admin action audit log,SELECT,authenticated,public.is_admin(auth.uid()),,LOW,Admin-gated policy.
public.admin_notifications,Admins can read own notifications,SELECT,authenticated,user_id = auth.uid() AND public.is_admin(auth.uid()),,LOW,Admin-gated policy.
public.admin_notifications,Admins can update own notifications,UPDATE,authenticated,user_id = auth.uid() AND public.is_admin(auth.uid()),user_id = auth.uid() AND public.is_admin(auth.uid()),LOW,Admin-gated policy.
public.ai_admin_actions,Admins can insert ai admin actions,INSERT,authenticated,,public.is_admin(auth.uid()),LOW,Admin-gated policy.
public.ai_admin_actions,Admins can read ai admin actions,SELECT,authenticated,public.is_admin(auth.uid()),,LOW,Admin-gated policy.
public.ai_admin_actions,Admins can update ai admin actions,UPDATE,authenticated,public.is_admin(auth.uid()),public.is_admin(auth.uid()),LOW,Admin-gated policy.
public.ai_training_feedback,Admins can insert ai training feedback,INSERT,authenticated,,public.is_admin(auth.uid()),LOW,Admin-gated policy.
public.ai_training_feedback,Admins can read ai training feedback,SELECT,authenticated,public.is_admin(auth.uid()),,LOW,Admin-gated policy.
public.ai_training_feedback,Admins can update ai training feedback,UPDATE,authenticated,public.is_admin(auth.uid()),public.is_admin(auth.uid()),LOW,Admin-gated policy.
public.app_settings,Admins can insert app settings,INSERT,authenticated,,public.is_admin(auth.uid()),LOW,Admin-gated policy.
public.app_settings,Admins can update app settings,UPDATE,authenticated,public.is_admin(auth.uid()),public.is_admin(auth.uid()),LOW,Admin-gated policy.
public.app_settings,Anyone can read app settings,SELECT,"anon, authenticated",true,,MEDIUM,Full app_settings readable by anon/authenticated; future secret leakage risk.
public.audio_processing_jobs,Admins can view audio processing jobs,SELECT,authenticated,public.is_admin(auth.uid()),,LOW,Admin-gated policy.
public.audit_logs,Users can view own audit logs,SELECT,authenticated,user_id = auth.uid(),,LOW,Owner/session-bound policy.
public.battle_comments,Admins can moderate battle comments,UPDATE,authenticated,public.is_admin(auth.uid()),public.is_admin(auth.uid()),LOW,Admin-gated policy.
public.battle_comments,Admins can view all battle comments,SELECT,authenticated,public.is_admin(auth.uid()),,LOW,Admin-gated policy.
public.battle_comments,Anyone can view visible comments,SELECT,PUBLIC,is_hidden = false,,LOW,Public read policy (verify data is explicitly public).
public.battle_comments,Confirmed users can comment,INSERT,authenticated,,"user_id = auth.uid() AND public.is_email_verified_user(auth.uid()) AND EXISTS ( SELECT 1 FROM public.battles WHERE id = battle_comments.battle_id AND status IN ('active', 'voting') )",LOW,Owner/session-bound policy.
public.battle_comments,Users can delete own comments,DELETE,authenticated,user_id = auth.uid(),,LOW,Owner/session-bound policy.
public.battle_comments,Users can update own comments,UPDATE,authenticated,user_id = auth.uid(),user_id = auth.uid() AND is_hidden = false,LOW,Owner/session-bound policy.
public.battle_product_snapshots,Admins can view all battle product snapshots,SELECT,authenticated,public.is_admin(auth.uid()),,LOW,Admin-gated policy.
public.battle_product_snapshots,Anyone can view public battle product snapshots,SELECT,"anon, authenticated","EXISTS ( SELECT 1 FROM public.battles b WHERE b.id = battle_product_snapshots.battle_id AND b.status IN ('active', 'voting', 'completed') )",,LOW,Public read policy (verify data is explicitly public).
public.battle_product_snapshots,Participants can view own battle product snapshots,SELECT,authenticated,EXISTS ( SELECT 1 FROM public.battles b WHERE b.id = battle_product_snapshots.battle_id AND (b.producer1_id = auth.uid() OR b.producer2_id = auth.uid()) ),,LOW,Owner/session-bound policy.
public.battle_votes,Admins can read all battle votes,SELECT,authenticated,public.is_admin(auth.uid()),,LOW,Admin-gated policy.
public.battle_votes,Confirmed users can vote,INSERT,authenticated,,user_id = auth.uid() AND public.is_email_verified_user(auth.uid()) AND voted_for_producer_id != auth.uid() AND EXISTS ( SELECT 1 FROM public.battles b WHERE b.id = battle_votes.battle_id AND b.status = 'active' AND b.producer1_id IS NOT NULL AND b.producer2_id IS NOT NULL AND ( voted_for_producer_id = b.producer1_id OR voted_for_producer_id = b.producer2_id ) AND auth.uid() != b.producer1_id AND auth.uid() != b.producer2_id ) AND NOT EXISTS ( SELECT 1 FROM public.battle_votes bv WHERE bv.battle_id = battle_votes.battle_id AND bv.user_id = auth.uid() ),LOW,Owner/session-bound policy.
public.battle_votes,Users can read own battle votes,SELECT,authenticated,user_id = auth.uid(),,LOW,Owner/session-bound policy.
public.battles,Active producers can create battles,INSERT,authenticated,,auth.uid() IS NOT NULL AND producer1_id = auth.uid() AND producer2_id IS NOT NULL AND producer1_id != producer2_id AND status = 'pending_acceptance' AND winner_id IS NULL AND votes_producer1 = 0 AND votes_producer2 = 0 AND accepted_at IS NULL AND rejected_at IS NULL AND admin_validated_at IS NULL AND public.can_create_battle(auth.uid()) = true AND EXISTS ( SELECT 1 FROM public.public_producer_profiles pp2 WHERE pp2.user_id = producer2_id ) AND ( product1_id IS NULL OR EXISTS ( SELECT 1 FROM public.products p1 WHERE p1.id = product1_id AND p1.producer_id = auth.uid() AND p1.deleted_at IS NULL ) ) AND ( product2_id IS NULL OR EXISTS ( SELECT 1 FROM public.products p2 WHERE p2.id = product2_id AND p2.producer_id = producer2_id AND p2.deleted_at IS NULL ) ),LOW,Owner/session-bound policy.
public.battles,Admins can update all battles,UPDATE,authenticated,public.is_admin(auth.uid()),public.is_admin(auth.uid()),LOW,Admin-gated policy.
public.battles,Admins can view all battles,SELECT,authenticated,public.is_admin(auth.uid()),,LOW,Admin-gated policy.
public.battles,Anyone can view public battles,SELECT,PUBLIC,"status IN ('active', 'voting', 'completed')",,LOW,Public read policy (verify data is explicitly public).
